Where do you live (or spend most of your time)?,Which language(s) do you feel most comfortable speaking?,Do you identify as a member of the Blockstack community?,How long have you been a member of the community?,Which roles in the Blockstack community do you most strongly identify with?,What's your degree of involvement in *the Blockstack community?*,"What's your degree of involvement in *the blockchain/cryptocurrency space, in general?*",Do you hold STX tokens?,Which other cryptographic tokens do you hold?,What other blockchain/crypto communities do you consider yourself a member of?,How many [Blockstack dapps](https://app.co/blockstack) have you used?,What has been your involvement with [Blockstack dapps](https://app.co/blockstack)?,How have you/your team funded your Dapp project to date?,Have you attended (or watched recordings of) any of these community events? Which ones?,What is/are your primary resources for learning about the Blockstack platform and community?,What are the strengths of the Blockstack community and project? What are its weaknesses?,"In your opinion, what should be the *mission/vision* of the Blockstack project and community?",How well do you understand this mission/vision?,How aligned are you with this mission/vision?,"In your opinion, what are the *shared values* of the Blockstack project and community?",How aligned are you with these values?,What aspects of Blockstack governance have you previously participated in?,Are you interested in participating in governance?,What aspects of governance would you like to participate in?,Do you feel there have been any obstacles that have prevented you from participating in governance?,What limits you from participating in governance today?,How much do you trust the core developers to make technical decisions in the best interest of the protocol?,Who should be in charge of Stacks governance?,Do you support [on chain governance?](https://messari.io/article/on-chain-governance),What challenges (if any) do you see with the _existing governance_ of the Blockstack project and platform?,Do you believe STX tokenholders should participate in Stacks governance?,In what capacity do you believe STX tokenholders should participate in governance?,Which other groups should participate in governance? Why? In what capacity?,Are there any groups that you feel should be _excluded_ from participation in governance? Why?,"In your view, what is the mission of Blockstack PBC?",How well do you understand the mission of Blockstack PBC?,How much do you care about the mission of Blockstack PBC?,Do you trust Blockstack PBC to make decisions in the best interest of the protocol/community?,"Generally, how do you feel about the output or productivity of Blockstack PBC?",Do you feel that Blockstack PBC’s decision making process is clear and transparent?,What should be the future role of Blockstack PBC in governance?,"Do you feel it's a good idea to create a new, independent entity responsible for governance?",What form do you feel this entity should take?,What role should this independent entity play in platform/community governance?,How should it be funded?,What role should the community play in the governance of the entity? Any other thoughts?,What else should we have asked?,Any final thoughts?,In what capacity do you believe STX tokenholders should participate in governance?,Which language(s) do you feel most comfortable speaking?,What is/are your primary resources for learning about the Blockstack platform and community?,What form do you feel this entity should take?,Token
Thailand,,I'm not sure,2,User,New/still learning,New/still learning,Yes,No others,None,2,User,,Blockstack summit,,,Users truely own their ids and data,5,4,Ecosystem,4,Haven't participated,Not sure/Don't really understand governance,"Forum/chat, Review SIPs",Not sure,"I don't have enough time, I don't understand Blockstack governance well enough",4,A few trusted people (oligarchy),I'm not informed enough about it,PBC needs to do every thing,,,Knowledgeable and experienced people with big hearts,"Bad people. Think only for themselves, not for everyone",Build web 3.0,4,5,5,4,4,Core development,Maybe,,"Grant funding, Lobbying, Education, Marketing/awareness, Events, Manage token treasury, App Mining, Legal work","Donations/charity, Optional fees attached to payments/transactions, Ongoing “tax” or “ecosystem fund” from block reward",,,,"Binding voting (i.e., on-chain governance)",Thai,"Blockstack Forum, Blockstack Blog",Non-profit foundation/association,e22ib5e7zl5prnbbqx8be22ib55j0o94
United States,,Yes!,1,App miner (former),Hobbyist,Hobbyist,Yes,"Bitcoin (BTC), Ether (ETH), Ripple (XRP), Tezos (XTZ), Litecoin (LTC)","Bitcoin, Ethereum, Ripple, Tezos",2,Founder,Bootstrap (self-funded),Webinars,,Doing a great job STX needs an American exchange I would like to see app mining come back or something similar the money really helped encouragement,Same as it is currently,6,6,Security and data privacy,6,App Mining,"Yes, all aspects of governance","Working group calls, Forum/chat, Review SIPs, Author SIPs",Yes,"I don't know where/how to, but I would, I don't understand Blockstack governance well enough",5,Everyone (democracy),Yes,Reliant on BTC,,,Anyone who wants to,No I believe that democracy only works if everyone vote counts,To help guide and support the blockstack platform,2,6,6,5,6,"Grant funding, Events, Lobbying, Marketing/awareness, Education, Legal work, Core development, App Mining, Manage token treasury",Maybe,,"App Mining, Legal work, Marketing/awareness, Core development, Education, Lobbying, Events, Grant funding","Ongoing “tax” or “ecosystem fund” from block reward, Endowment from PBC, Donations/charity, Optional fees attached to payments/transactions","Development, choosing entity's who controls votes (see Tron)",What kinda governance system on chain,"Keep up the good work a voting system similar to mining / DPOS would be really helpful not really sure I really wanna see app mining come back it encouraged me to work on my app alot and served the exact purpose that was intended and an American exchange for STX token would be greatly appreciated as I would love to ""Stack"" some tokens up as well","Binding voting (i.e., on-chain governance)",English,"Blockstack Forum, Blockstack Blog, Newsletters",Non-profit foundation/association,wba8ils42hx37fwbs5135lgdjj7quqgs
United States,,,1,"User, Community member, Stacker (prospective)",Hobbyist,Hobbyist,No,Bitcoin (BTC),Bitcoin,1,User,,Blockstack summit,,The documentation is not well written and doesn't speak to a BTC maximalist like myself.,"The github repository should not be owned by the Blockstack company (be more community based like BTC.) Also, the principals behind the project need to be explained more clearly so I can be able to decide if I agree with them or not.",2,3,Having content be stored off the blockchain and not overengineering things the way Ethereum does. And close ties to BTC.,4,Haven't participated,"No, I don't want to participate in governance",,Yes,"I don't have enough time, I don't feel informed enough about Blockstack, I don't understand Blockstack governance well enough",2,Everyone (democracy),I'm not informed enough about it,It's not done in the best interest of the community because it favors the company.,,,The community.,No.,To support the efforts of the community by providing information to newcomers.,2,5,1,1,0,"Lobbying, Education, Legal work, Marketing/awareness, Events",Yes,,"Lobbying, Legal work, Events, Education","Donations/charity, Optional fees attached to payments/transactions",Voting based on clear information provided to us.,Whether or not the community is getting clear information about Blockstack.,Be more open-source community driven like BTC.,Not sure/don't care,English,"Discord/Telegram/WeChat, Technical articles, YouTube",No legal entity,8i4bybyfulzg6lg2j4y98i4bybyf5lwj
Europe,,,,"Evangelist/Advocate, User, Researcher, Designer",,,,"Don't own any, Ether (ETH)",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qewqg7skqupzd4e9idx7osqewqg7s52c
United States,,Yes!,5,"Designer, Product/Product Manager, User, Blockstack Evangelist, Investor, Developer, App miner (former)",Hobbyist,Part-time (paid work),Yes,"Bitcoin (BTC), Ether (ETH), Ripple (XRP), Bitcoin Cash (BCH)","Bitcoin, Ethereum, Ripple, Stellar",More than 10,User,,"Working group calls, STX holder calls, Blockstack summit, Local meetups, Webinars, Hackathons, Workshops, Developer updates",,weaknesses poor apps,"get people to own .ids and business to own domains
Have one good app ex a youtube or a facebookapp",2,4,They focus on developers,2,Haven't participated,"Yes, all aspects of governance",,Not sure,I don't understand Blockstack governance well enough,4,STX tokenholders (plutocracy),I'm not informed enough about it,?,,,,,Make sure apps are secure and maintain bns code,2,3,3,3,4,Core development,Maybe,,Education,Endowment from PBC,,"Why doesnt blockstack focus on the importance
of having an id as an end user.  We need 1 good
important app.  Educate businesses why they need to 
own their own domain name",love the product,"Binding voting (i.e., on-chain governance)",English,"Blockstack Forum, Discord/Telegram/WeChat",Not sure/Don't care,bdn4ensk6vvdjdya7fyrbdn4end1gvya
Europe,,Yes!,4,Developer,,,,"Don't own any, Ether (ETH), EOS, Steem",EOS,More than 10,"Founder, User, Open source contributor, Builder/Paid contributor, Investor",,"Working group calls, STX holder calls, Local meetups",Blockstack Forum,,,,,,,,,,,I don't have enough time,,,,,,,,,,,,,,,,,,,,,,,,,,,2cuv2ekth52t7tpur2cuv2q7rmhvp1qy
United States,,Yes!,3,"Developer, Investor, Stacker (prospective)",Hobbyist,Hobbyist,Yes,"Bitcoin (BTC), Ether (ETH), Bitcoin Cash (BCH), Bitcoin SV (BSV), Litecoin (LTC), EOS","Bitcoin, Ethereum",6-10,App Mining Reviewer,,"Blockstack summit, Developer updates, STX holder calls",,,"build a better, more decentralized app platform",5,5,same,5,"Contributed code, App Mining","Yes, technical governance only","Forum/chat, Review SIPs, Working group calls",Not sure,"I don't have enough time, I don't feel informed enough about Blockstack",3,STX tokenholders (plutocracy),Yes,Don't know enough to comment,,,core developers,no,"hmm, promote Blockstack?",5,5,5,4,3,"Manage token treasury, Grant funding, Education, Marketing/awareness, Core development, Legal work",Yes,,"Core development, Marketing/awareness, Grant funding, Manage token treasury, Legal work","Endowment from PBC, Donations/charity, Ongoing “tax” or “ecosystem fund” from block reward",no,can't think of anything,keep it up!,"Binding voting (i.e., on-chain governance)",English,"Technical articles, Calls or events, Blockstack Blog, GitHub, other code/developer resources, Blockstack Forum, Discord/Telegram/WeChat",Non-profit foundation/association,xdb0rcs8gwxysr5n2dsxdb0rcjjkdach
Europe,,Yes!,4,"App Founder, Evangelist/Advocate, User, Researcher",,,,"Don't own any, Ether (ETH)",None,3-5,"User, Founder",,"Working group calls, Local meetups","Blockstack Blog, Calls or events, Blockstack Forum, Discord/Slack/Telegram/WeChat","Strenght: the mission and the very serious and reliable work. Weakness: only communication and getting the message to users. Aiming at adoption in a future has to start with making an effort in raising awareness along users on the big problems Blockstack Is going to solve, Privacy being just the easiest to share...",,5,5,Fundamental rights and serving end-users are at the core of the project. Also within the community truthfulness and transparency seem just a two of the values necessary to keep progressing. I also like how supportive and straightforward people express themselves.,5,"Joined a working group call, Commented on a SIP",,"Working group calls, Review SIPs",,"I don't have enough time, I am not a developer, I don't understand Blockstack governance well enough",5,Everyone (democracy),I'm not informed enough about it,,Yes!,,"Developers and Users should participate in governance, as well as evangelists with certain requirements. I think they should all be able to participate in all decisions. Nevertheless, depending on the kind of decision each kind of voter should have more weight. 
This is something that comes to my mind to better the traditional democratic systems. I can explain more in detail on the forum...",Not that I can think now.,"As for now, taking charge of management and decisions technical as well as financial according to the objectives of the project.

In the future, the Blockstack PBC should keep active in other terms, to preserve the mission, thus control that The new governance embraces the principles of the founders as well as taking care of  the interpretation of those principles in case of conflict. Moreover, participating in research, providing inspiration and counseling as well as proposals for future steps (to be decided by the community).",4,5,5,5,3,"Education, Core development, Grant funding, research and counseling ",,,"Education, Grant funding, Marketing/awareness, Manage token treasury","Endowment from PBC, Ongoing “tax” or “ecosystem fund” from block reward, Optional fees attached to payments/transactions, Donations/charity only","If this is going to be a decentralized ecosystem, the Foundation the community should take in charge its governance.",...,Thank you!,,,,,edd6quwsvnlpdw42eggawedd6qu5m70h
Netherlands,,Yes!,2,PBC Employee,Full-time (paid work),Full-time (paid work),Prefer not to answer,"Bitcoin (BTC), Ether (ETH)",None,More than 10,User,,"Working group calls, STX holder calls, Blockstack summit, Local meetups",,"Blockstack is a tight community where people can easily join and feel comfortable. 

We should work with other projects to bring a more relevant audience to our community.",Internet Ownership,5,5,fighting for fundamental digital rights,4,"Commented on a SIP, Joined a working group call, Contributed code, Participated in community discussion","Yes, political/economic governance only","Working group calls, Forum/chat, Review SIPs",Yes,I don't have enough time,5,STX tokenholders (plutocracy),Yes,One entity to have a lot of power over the network,,,Evangelist,Not at the moment,Fighting for Fundamental digital rights + Internet Ownership,6,6,5,4,5,"Core development, Legal work",Yes,Non-profit foundation/association,"Manage token treasury, Grant funding, Events","Ongoing “tax” or “ecosystem fund” from block reward, Endowment from PBC",Decision Making,n/a,Good luck with the Governance Working Group,"Binding voting (i.e., on-chain governance)",English,"Discord/Slack/Telegram/WeChat, Calls or events, Technical articles, Blockstack Blog, Newsletters, Blockstack Forum, Meetups",,piejsk7pb9270wnhobhpiej1nbxdt45z
Netherlands,,Yes!,1,App Founder,New/still learning,New/still learning,Prefer not to answer,Bitcoin (BTC),None,3-5,"Investor, User, Business strategy ",,"Local meetups, Workshops",,Strength Minimalization of processing power approach in a decentralised system . Weakness: unstructured business development strategy approach leading to  an inability to use the full power of a community in a decentralised system and inability to see that current centralised systems need to be adapted to this new idea.,It is a race to find business solutions that work and can be bring about a stronger more collaborate and integrative community.,3,6,is not clear to me but this might be my ignorance,3,Haven't participated,"Yes, all aspects of governance",Working group calls,Yes,I am not a developer,3,Everyone that wants to  positively contribute,No,Not enough information available,,,Anybody that wants to provide a positive contribution,Destructors of others ideas without constructively participating,No sure,0,5,3,3,3,Need time to think,No,,Education,"Optional fees attached to payments/transactions, Ongoing “tax” or “ecosystem fund” from block reward",Need time to think,How developers can cooperate with each other,no,On chain but adapted to include an advisory panel,Spanish,"Meetups, Discord/Telegram/WeChat",Non-profit foundation/association,x8e370yyu4j0ll6x8bu01hutusft73yf
China,,No!,,,New/still learning,New/still learning,No,No others,Ethereum,None yet,None,,Hackathons,,no,don't know,4,3,no,3,Contributed to a SIP,Not sure/Don't really understand governance,Review SIPs,Not sure,I am not a developer,3,Everyone (democracy),Yes,no,,,no,no,no,3,3,3,3,3,App Mining,Not sure/Don't care,,Education,Optional fees attached to payments/transactions,no,no,no,Should not participate,Chinese (Cantonese),Newsletters,Not sure/Don't care,fxnz4160lznv32trapkfxnz41z4h72xb
North America,,,,"Researcher, Developer",,,,Prefer not to answer,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7aog5ck65vf597aog9qwdq6eb45m4xwz
United Nations,,,1,Community member,Hobbyist,Hobbyist,Prefer not to answer,Prefer not to answer,None,3-5,User,,"Local meetups, Working group calls",,,Privacy and censorship resistance,3,6,what does it even mean,3,Haven't participated,"Yes, political/economic governance only",Working group calls,Yes,"I don't feel informed enough about Blockstack, I don't understand Blockstack governance well enough, I am not a developer, I don't work for Blockstack",4,STX tokenholders (plutocracy),I'm not informed enough about it,not sure what the current structure is,,,this question is way too specific,same,no idea,0,6,3,3,3,I am not sure what PBC is doing so all the previous questions about PBC are useless,Not sure/Don't care,,"This question requires deep knowledge of the subject, I am not comfortable answering this question and I don't think most of the users can give a meaningful answer",same,"Again, it requires a deep research in the topic of governance, economics, decision making, game theory etc. This is not for an average user to understand and have a preference",Make it shorter,Most questions require deep knowledge of Blockstack and may be answered by Blockstack employees only (maybe even not all of them). You shouldn't seek advice from the general public on the topic that require a lot of scientific research. Science is not a democracy,Not sure/don't care,English,"Meetups, Podcasts, Technical articles",Not sure/Don't care,mn15nehtxsoqc2lpamn15nevgx90nhoy
United States,,I'm not sure,1,Investor,New/still learning,New/still learning,No,Prefer not to answer,,None yet,User,,Blockstack summit,,"Being ambitious at doing good is strength. Yes it’s open sourced, and everything but still  STK is not on any decentralized exchange or atleast there should have been a dex app to get STK and that’s a weakness.",They already have one and keep it that way.,3,6,,,Haven't participated,"Yes, political/economic governance only","Working group calls, Forum/chat",No,,5,"Everyone (democracy), STX tokenholders (plutocracy), The core devs (technocracy)",Yes,Nothing at this point of time but sure will do if I can get value out of my time for it.,,,I can’t think of any at this point of time.,Can’t think of any at this point of time.,Empower people.,6,6,3,5,6,"Education, Core development, Marketing/awareness, Legal work, Events, Grant funding, App Mining, Manage token treasury, Lobbying",Maybe,,"Grant funding, Manage token treasury","Donations/charity, Ongoing “tax” or “ecosystem fund” from block reward, Optional fees attached to payments/transactions, Endowment from PBC",Discussion like this.,Can’t think of any At this point  but I will email them.,World is gonna get its internet back.,"Non-binding voting (i.e., signaling)",English,"Blockstack Blog, Blockstack Forum, Podcasts","Non-profit foundation/association, No legal entity",ywtujo9cigi74xtfnwqywtujoq4xm3w0
United States,,Yes!,3,"Working group member, Community member, Community leader/evangelist, App Founder, Stacker (prospective), Product/Product Manager, Developer, App miner (former), User, Investor, Evangelist/Advocate",Hobbyist (unpaid),Hobbyist (unpaid),Yes,"Bitcoin (BTC), Ether (ETH)",None,More than 10,"Open source contributor, User, Founder",Bootstrap (self-funded),"Working group calls, STX holder calls, Blockstack summit, Local meetups",,"Strengths: PBC principles and leadership, good core of principled app developers. Weaknesses: Letting inclusiveness get in the way of decision making.",Bring independence to every person in the world.,4,6,Users own how and when their information is used.,6,"Joined a working group call, App Mining, Participated in community discussion","Yes, all aspects of governance","Working group calls, Review SIPs, Forum/chat",Yes,I don't have enough time,5,"The core devs (technocracy), STX tokenholders (plutocracy)",Yes,"There are multiple aspects here.  Code/development is focused on areas that PBC *speculates* could bring value to the ecosystem.  In the meantime, real world application development is being hampered.  I'd like to see core development managed by the foundation that sets direction with input from the community.  Maybe.  Unsure.",,,Not sure what other groups are being referred to.,Users with no financial or development stake.,Build a new Internet anchored in user data sovereignty.,4,6,6,4,5,"Core development, Grant funding, Marketing/awareness, Lobbying",Yes,Non-profit foundation/association,"Grant funding, Legal work, Lobbying, Marketing/awareness, App Mining, Core development, Manage token treasury, Events, Education","Ongoing “tax” or “ecosystem fund” from block reward, Donations/charity",STX token holders should be able to vote on initiatives.  Votes should be binding.,,,"Binding voting (i.e., on-chain governance)",English,"Discord/Slack/Telegram/WeChat, Calls or events, Code/developer resources, Technical articles, Blockstack Blog, Podcasts, Blockstack Forum",,l45la5nw054eh7924o1iom9fl45la5go
United States,,Yes!,1,"App Founder, Community leader/evangelist, App miner (former), Stacker (prospective), User, Investor","Evangelist creating meetups, office hours for developers, promotion, community education and development.",Founder of startup; Investor; Legal Domain Expert,Yes,Prefer not to answer,"Bitcoin, Ethereum",More than 10,"Builder/Paid contributor, Founder","Bootstrap (self-funded), Grants","Working group calls, Local meetups, Blockstack summit, Townhalls",,The greatest strength is a commitment to digital rights.,Focus on digital rights and privacy in all activities from app development to stacking.,5,6,First principles of respect of the user's digital rights,6,"Commented on a SIP, Joined a working group call, App Mining, Participated in community discussion","Yes, all aspects of governance","Working group calls, Forum/chat, Review SIPs, Stacks Foundation Development",,Decisions made by Blockstack without the input of the community.,4,"STX tokenholders (plutocracy), Everyone (democracy), The core devs (technocracy)",Yes,Lack of attention to the importance of governance; Lack of education about blockchain governance; Failure to identify the key elements of Blockstack governance; Low participation in governance.,,,"Everyone in the community should participate in governance, but in particular developers need to make their voices and choices heard.",No,To promote and create the tools for a user owned internet.,,6,4,,4,Core development,Yes,,"App Mining, Education, Legal work, Marketing/awareness, Grant funding, Lobbying, Manage token treasury, Events","Endowment from PBC, Optional fees attached to payments/transactions, Ongoing “tax” or “ecosystem fund” from block reward, I see the foregoing as possibilities and not absolutes.",Developers and community members should have a role on the Board of directors. There should be independent board members. The foundation as a whole should be run by the Blockstack community.,What is the number one thing you want to see from the Stack Foundation? What is the most important element in governance?,Many - but too many for this survey.,"Non-binding voting (i.e., signaling)",English,"Calls or events, Code/developer resources, Discord/Slack/Telegram/WeChat, Blockstack Forum, Meetups",,z0oizbcprd7nzkxz0oiknw3ivm72rva0
France,,Yes!,2,"App Founder, Developer, User",Hobbyist,Full-time (paid work),Yes,"Bitcoin (BTC), Ether (ETH)",Lisk,3-5,"Open source contributor, Founder, User",Bootstrap (self-funded),"Working group calls, Local meetups",,,Provide scalable tooling to build the new web,3,4,Privacy,6,"Joined a working group call, Contributed code, App Mining",Not sure/Don't really understand governance,Forum/chat,No,,4,STX tokenholders (plutocracy),I'm not informed enough about it,,,,,,Create the new internet where privacy is an end goal,4,6,5,5,6,"App Mining, Core development, Manage token treasury, Events, Education, Marketing/awareness, Legal work",Yes,,"Lobbying, App Mining",Endowment from PBC,,,,"Binding voting (i.e., on-chain governance)",French,"Discord/Telegram/WeChat, Blockstack Blog, GitHub, other code/developer resources",Non-profit foundation/association,xmgqwndxqqe10m6ntxmgqwny9g1e24f4
Chile,,Yes!,4,"Stacker (prospective), Community member, App Founder, Developer, Product/Product Manager, Working group member, User",Full-time (paid work),Full-time (paid work),Yes,"Bitcoin (BTC), Ether (ETH)",Cardano,6-10,"Founder, Builder/Paid contributor","Bootstrap (self-funded), Grants, Employer-sponsored","Working group calls, Blockstack summit, Local meetups",,Very innovative and useful solution for the new Internet.,I have already entered it,6,5,Let's be no evil,6,"Commented on a SIP, Joined a working group call, App Mining, Participated in community discussion","Yes, all aspects of governance","Working group calls, Review SIPs, Forum/chat",Yes,I don't have enough time,4,Democracy with an organization,I'm not informed enough about it,Lack of communication/decisions betwen PBC and community.,,,,,Already entered,5,5,4,4,4,"Legal work, Grant funding, Core development, Events, Lobbying, Marketing/awareness, Education, Manage token treasury",Yes,Non-profit foundation/association,"Marketing/awareness, App Mining, Education, Lobbying, Events, Grant funding, Legal work, Manage token treasury","Optional fees attached to payments/transactions, Endowment from PBC, Donations/charity, Ongoing “tax” or “ecosystem fund” from block reward",Annually elect borad of directors,,,Participate as others,Spanish,"Code/developer resources, Technical articles, Blockstack Forum, Discord/Slack/Telegram/WeChat, Newsletters, Calls or events, Blockstack Blog, Experimenting",,4rpowp89h3avuyc4yqox4rpow8ecv3rc
Eurozone,,Yes!,3,"App miner (former), Developer, Stacker (prospective), App Founder, Community member",Hobbyist,Full-time (paid work),Yes,Prefer not to answer,"Bitcoin, Ethereum",2,"Founder, Open source contributor, Builder/Paid contributor",Bootstrap (self-funded),"Working group calls, Blockstack summit, Developer updates",,"I don't think community has any significant strengths.
Project is professional,  pragmatical with pretty good team.

Community is small, mostly hobbyists . Not really that many  professionals, who can actually build ideas discussed .","Not your key, not your data.",4,5,User data privacy,5,"Joined a working group call, Contributed code, App Mining, Participated in community discussion","Don't have time, but would like to have a voice about big changes","Working group calls, Forum/chat",No,,4,meritocracy - best people but with the clear skin in the game,No,,,,"Someone external to counter biases, every community lives inside of its bubble","People without any skin in the game, talk is cheap",User owned data and identity,5,5,5,3,4,"Marketing/awareness, Core development, Events, Education, Lobbying",Not sure/Don't care,,"Education, Grant funding, Manage token treasury, Marketing/awareness, App Mining, Events","Ongoing “tax” or “ecosystem fund” from block reward, Optional fees attached to payments/transactions","They might vote for some of its members, but please don't make it popularity contest. Only component people allowed","What are goals of community members, how can we be supported. There is a bit of potential free rider problem here. PBC team holds sig. amount of STX which price depends on free time of it's members.",Thanks for asking questions :) Good luck with the project!,Not sure/don't care,English,"Discord/Telegram/WeChat, Blockstack Blog, Podcasts, Blockstack Forum",Not sure/Don't care,wtqgka7032jfdg6oz5lwtqgkaf6i3nfx
South America,,Yes!,,App Founder,,,,"Don't own any, Ether (ETH)",Cardano,6-10,"Founder, Builder/Paid contributor, Investor, User",,"Working group calls, Blockstack summit, Local meetups","Calls or events, Technical articles, Blockstack Forum, Discord/Slack/Telegram/WeChat, Blockstack Blog, Experimenting ourselves","Good diversity, international and good spirit.  Few participants of the community have deep experience in development, business and in the Blockstack technology",,5,5,Looking for the betterment of the world through the Blockstack technology,5,Commented on a SIP,,"Working group calls, Forum/chat, Review SIPs",,"I don't have enough time, As blockchain ecosystems are new, I do not have all the knowledge and experience to contribute as I would like to",4,Everyone with an annually elected board of members,Not sure,"PBC makes decisions that are not so based in experience.  Good thing that are in a learning process, but sometimes we have to hear the more experienced people. Anyways, difficult to achieve trust when most of the people are remote",Yes!,As a person interested in the best for Blockstack,Do not know,People that want to sabotage the project,Create the vision on how to develop the technology to avoid Let's be no evil,3,4,4,4,3,"Legal work, Marketing/awareness, Grant funding, Manage token treasury, Lobbying, Core development, Events, Education",,,"Events, Grant funding, Education, Lobbying, Legal work, Marketing/awareness, App Mining, Represent the community","Endowment from PBC, Optional fees attached to payments/transactions, Ongoing “tax” or “ecosystem fund” from block reward, Donations also",The power comes from the community and entrust the organization to execute the purpose,From what you have seen in other blockchain based communities what are the good things you have seen and what worries you that could be inheritated in Blockstack?,About the way of representation of the community.  The organization.,,,,,7oiqpdp6e7p0mm3l27oiqpdpio5mfuyz
Ireland,,Yes!,3,"Community member, Investor, Stacker (prospective), User",Hobbyist,Hobbyist,Yes,Tellor,Tellor,2,User,,"Blockstack summit, STX holder calls, Webinars, Working group calls",,,Advance the cause and usage of apps that respect user data. Return value to STX holders.,4,6,"Respect of user data, decentralization",6,"Commented on a SIP, Joined a working group call, Participated in community discussion","Yes, political/economic governance only","Review SIPs, Forum/chat, Working group calls",No,,4,STX tokenholders (plutocracy),Yes,"1) SIP proposal system is opaque (how does community suggest + advance a proposal, or is it just for devs?), 2) lack of clear methods for signalling interest in/support of a proposal (e.g. a voting portal).",,,devs/foundation. could signal support of a proposal ('recommend') but abstain from voting directly.,non-stx holders (no skin in the game),promoting the growth of the blockstack ecosystem,2,6,4,3,0,"Marketing/awareness, Events, Lobbying, Education, Core development, Legal work",Yes,,"Manage token treasury, Grant funding, Marketing/awareness, Education","Endowment from PBC, Optional fees attached to payments/transactions, Ongoing “tax” or “ecosystem fund” from block reward",1) submitting + voting on proposals to modify aspects of governance 2) weekly community governance calls 3) advocating for changes on twitter,,,"Binding voting (i.e., on-chain governance)",English,"Discord/Telegram/WeChat, Podcasts, Newsletters, Blockstack Blog, Calls or events",Not sure/Don't care,88uhxafz1n4ertqakbt88uhxafz9ypfa
Chile,,I'm not sure,1,"User, Community member",New/still learning,Hobbyist,No,"Bitcoin (BTC), Ether (ETH), Ripple (XRP), DAI",Ethereum,3-5,User,,Webinars,,"Sincerely, I don't know",,3,3,I don't know,3,Haven't participated,Not sure/Don't really understand governance,,Not sure,"I don't have enough time, I don't understand Blockstack governance well enough, I don't feel informed enough about Blockstack",3,STX tokenholders (plutocracy),Yes,Avoid centralization,,,None,No,I don't know,0,3,3,3,3,"Education, Grant funding, App Mining, Lobbying, Marketing/awareness, Legal work",Maybe,,"Manage token treasury, Legal work","Donations/charity, Optional fees attached to payments/transactions, Endowment from PBC",A central role,,,Not sure/don't care,Spanish,Blockstack Blog,"Co-operative, Non-profit foundation/association",spa9dgvx1z1yu4agnvspa9dginz1z3lm
United States,,Yes!,4,Community member,Full-time (paid work),Full-time (paid work),Yes,Bitcoin (BTC),"Bitcoin, Tezos, Cosmos, Zcash, Stellar",,User,,"Working group calls, STX holder calls, Blockstack summit, Local meetups, Webinars, Hackathons, Workshops, Developer updates",,I appreciate this open-minded community and how driven it is compared to other projects. I enjoy meeting fellow members at the summits as well.,Blockstack apps give users direct ownership of their internet assets and protect user privacy.,5,5,Protecting user privacy,5,"Joined a working group call, Participated in community discussion","Yes, all aspects of governance","Working group calls, Review SIPs",No,,5,"STX tokenholders (plutocracy), Everyone (democracy)",I'm not informed enough about it,Not certain,,,Not certain,Not certain,Blockstack apps give users direct ownership of their internet assets and protect user privacy.,5,5,5,5,4,"Core development, Grant funding, Education, Marketing/awareness, Lobbying",Not sure/Don't care,,"Legal work, Grant funding, Events, Education, Lobbying",Ongoing “tax” or “ecosystem fund” from block reward,n/a,it was great,"none, thank you",Not sure/don't care,English,"Newsletters, Meetups, Blockstack Forum, Calls or events, Discord/Telegram/WeChat, Podcasts, Blockstack Blog",Not sure/Don't care,szgyakp9c2wvzbplskajjszgyakp9kgm
United States,,Yes!,3,"Investor, Developer, Community member",Hobbyist,Hobbyist,Yes,No others,None,2,User,,"Local meetups, Webinars, Hackathons, Developer updates, STX holder calls",,"Creating a new internet is a marathon, and we haven't reached a point in the race where anyone besides us cares.","To fulfill the promise of the internet would be a good start.  Web 3.0 should be a tool of conviviality: open, secure, private.",6,6,We fight for the users!,6,Haven't participated,"Yes, all aspects of governance","Working group calls, Forum/chat",Yes,I don't have enough time,4,,Not sure/Don't care,I haven't been following it closely enough to have a useful opinion.,,,I think end users of Blockstack DApps should be incentivised to purchase STX.  It would definitely push towards further democratization of the ecosystem that we hope will benefit the general public,"No one should be excluded, but perhaps there is undue influence among some early/large investors that needs a check.  I have seen no evidence of this, but it's certainly derailed other worthwhile projects.","To fulfill the promise of the internet, in that it is meant to be free, open, private, and secure.",4,6,5,5,5,"Manage token treasury, Events, App Mining, Grant funding, Lobbying, Core development, Marketing/awareness, Legal work, Education",Yes,,"Legal work, Manage token treasury, Events, Education","Endowment from PBC, Optional fees attached to payments/transactions, Ongoing “tax” or “ecosystem fund” from block reward","Various boards, working groups, t-groups, etc. populated by those that have passion for the project","It was pretty thorough, but keep them coming",Take care!,Not sure/don't care,,"Technical articles, Blockstack Forum, Blockstack Blog, Meetups, Discord/Telegram/WeChat, Newsletters","Non-profit foundation/association, Corporation (LLC/C Corp/PBC), Co-operative",64uvj2t4hnaynajn3js64uvj2e7q8rm1
